,,,,,Day 1,,,,,,,,,,,,,,,,,,,,,,,,Day 2,,,,,,,,,,,,,,,,,,,,,,,
Summer Street east of Dorchester Avenue,October,MV,Westbound,26095,135,81,70,106,198,456,530,782,864,807,701,626,681,616,718,749,747,835,765,763,520,435,326,204,167,92,65,100,224,459,586,768,905,783,661,829,738,671,781,775,851,845,725,703,561,416,415,260
Summer Street east of Dorchester Avenue,October,MV,Total,41531,221,150,105,169,278,581,860,1259,1433,1268,1131,1050,1058,1008,1121,1208,1197,1380,1257,1165,806,696,546,339,267,142,105,127,275,601,892,1254,1428,1207,1091,1246,1131,1140,1218,1250,1378,1448,1299,1092,867,648,679,460
Talbot Avenue west of New England Avenue,October,Bike,Eastbound,66,1,1,0,0,0,1,0,1,1,1,4,0,0,1,1,0,3,1,2,2,3,0,1,2,1,0,1,0,0,2,1,2,2,4,1,1,3,4,2,2,1,5,2,1,2,1,2,0
Talbot Avenue west of New England Avenue,October,Bike,Westbound,53,0,0,0,0,0,0,1,3,2,2,2,0,0,1,1,1,2,2,0,1,1,1,0,0,0,0,1,0,0,0,1,2,1,0,0,2,4,2,1,2,1,1,5,3,6,0,1,0
Talbot Avenue west of New England Avenue,October,Bike,Total,119,1,1,0,0,0,1,1,4,3,3,6,0,0,2,2,1,5,3,2,3,4,1,1,2,1,0,2,0,0,2,2,4,3,4,1,3,7,6,3,4,2,6,7,4,8,1,3,0
Talbot Avenue west of New England Avenue,October,MV,Eastbound,13288,93,46,27,25,24,55,197,377,360,321,287,306,309,322,457,511,503,561,452,403,347,266,182,135,74,34,30,30,30,61,208,401,348,289,282,309,305,354,470,455,571,571,477,454,338,279,201,151
Talbot Avenue west of New England Avenue,October,MV,Westbound,13919,81,39,18,18,37,121,409,557,538,398,300,306,342,373,421,402,435,483,465,381,290,252,187,106,86,32,30,23,45,120,449,512,451,381,345,319,307,358,393,462,472,484,452,389,288,244,200,118
Talbot Avenue west of New England Avenue,October,MV,Total,27207,174,85,45,43,61,176,606,934,898,719,587,612,651,695,878,913,938,1044,917,784,637,518,369,241,160,66,60,53,75,181,657,913,799,670,627,628,612,712,863,917,1043,1055,929,843,626,523,401,269
Warren Street north of Walnut Avenue,October,Bike,Northbound,211,3,0,0,1,3,2,7,12,16,12,9,6,2,3,5,3,6,3,10,0,3,1,1,3,0,1,0,1,1,0,7,8,19,7,9,0,0,10,5,6,5,6,6,2,4,1,1,1
Warren Street north of Walnut Avenue,October,Bike,Southbound,155,2,0,1,0,2,0,5,3,1,1,1,2,1,5,3,1,4,6,8,6,3,3,2,0,2,0,2,0,1,1,3,3,1,2,0,3,3,8,6,7,11,13,12,3,2,5,4,3
Warren Street north of Walnut Avenue,October,Bike,Total,366,5,0,1,1,5,2,12,15,17,13,10,8,3,8,8,4,10,9,18,6,6,4,3,3,2,1,2,1,2,1,10,11,20,9,9,3,3,18,11,13,16,19,18,5,6,6,5,4
Warren Street north of Walnut Avenue,October,MV,Northbound,27368,119,74,54,51,117,401,857,1088,1047,974,791,708,718,795,843,776,797,726,669,583,447,379,316,221,121,66,52,48,120,417,870,1112,1137,911,818,703,750,753,883,700,723,749,723,618,492,447,354,250
Warren Street north of Walnut Avenue,October,MV,Southbound,20251,197,80,51,32,46,104,325,427,403,479,514,506,562,587,649,691,792,771,662,599,507,423,314,332,170,96,61,35,34,125,314,424,423,459,494,489,551,549,627,758,832,797,666,617,550,461,326,340
Warren Street north of Walnut Avenue,October,MV,Total,47619,316,154,105,83,163,505,1182,1515,1450,1453,1305,1214,1280,1382,1492,1467,1589,1497,1331,1182,954,802,630,553,291,162,113,83,154,542,1184,1536,1560,1370,1312,1192,1301,1302,1510,1458,1555,1546,1389,1235,1042,908,680,590
Washington Street east of Beethoven Street,October,Bike,Eastbound,91,0,0,0,0,0,1,3,1,6,8,4,1,0,1,2,3,1,4,2,3,2,3,0,0,0,0,0,0,1,1,3,2,7,4,0,4,1,1,2,3,5,2,2,1,0,1,3,3
Washington Street east of Beethoven Street,October,Bike,Westbound,104,0,0,0,0,0,1,1,0,2,2,3,1,3,0,3,5,3,4,4,6,6,0,2,1,0,0,0,0,1,0,2,0,0,1,1,1,3,3,2,1,6,6,9,6,6,6,2,1
Washington Street east of Beethoven Street,October,Bike,Total,195,0,0,0,0,0,2,4,1,8,10,7,2,3,1,5,8,4,8,6,9,8,3,2,1,0,0,0,0,2,1,5,2,7,5,1,5,4,4,4,4,11,8,11,7,6,7,5,4
Washington Street east of Beethoven Street,October,MV,Eastbound,16461,110,44,43,62,112,401,519,456,457,491,467,389,421,350,338,441,427,418,442,422,363,372,253,193,111,65,45,63,139,416,555,506,481,514,457,419,452,421,405,389,419,403,462,417,430,381,301,219
Washington Street east of Beethoven Street,October,MV,Westbound,13875,150,75,46,28,35,133,238,335,308,311,343,402,467,349,332,407,386,420,446,436,415,325,250,238,141,73,51,34,45,152,253,377,338,358,328,376,408,406,394,334,362,406,426,418,439,315,301,265
Washington Street east of Beethoven Street,October,MV,Total,30336,260,119,89,90,147,534,757,791,765,802,810,791,888,699,670,848,813,838,888,858,778,697,503,431,252,138,96,97,184,568,808,883,819,872,785,795,860,827,799,723,781,809,888,835,869,696,602,484
Washington Street north of Bexley Road,October,Bike,Northbound,305,0,0,0,0,3,7,13,31,38,15,7,3,5,2,3,3,4,5,4,3,4,0,1,0,1,0,0,1,1,7,9,25,33,22,3,10,3,3,11,8,6,1,4,1,2,2,1,0
Washington Street north of Bexley Road,October,Bike,Southbound,356,0,0,0,0,0,1,1,5,3,5,3,2,2,1,4,14,18,47,32,14,8,14,3,3,2,1,0,0,0,0,2,5,7,4,5,4,5,3,7,12,20,27,31,20,8,8,3,2
Washington Street north of Bexley Road,October,Bike,Total,661,0,0,0,0,3,8,14,36,41,20,10,5,7,3,7,17,22,52,36,17,12,14,4,3,3,1,0,1,1,7,11,30,40,26,8,14,8,6,18,20,26,28,35,21,10,10,4,2
Washington Street north of Bexley Road,October,MV,Northbound,11715,67,32,25,35,86,272,358,302,290,303,312,301,286,309,314,280,247,261,259,308,286,234,186,97,67,43,32,32,101,255,369,371,321,336,348,304,354,359,367,314,354,348,359,327,282,259,224,139
Washington Street north of Bexley Road,October,MV,Southbound,19118,104,47,35,38,48,138,329,529,602,576,511,465,462,487,528,637,671,632,595,561,442,377,269,190,107,47,31,34,43,146,337,561,576,552,481,527,514,543,579,711,763,764,718,548,403,350,282,228
Washington Street north of Bexley Road,October,MV,Total,30833,171,79,60,73,134,410,687,831,892,879,823,766,748,796,842,917,918,893,854,869,728,611,455,287,174,90,63,66,144,401,706,932,897,888,829,831,868,902,946,1025,1117,1112,1077,875,685,609,506,367
Washington Street north of Kenwood Street,October,Bike,Northbound,126,0,0,0,0,2,1,2,2,1,2,1,2,3,4,1,6,3,7,2,2,3,3,0,2,1,2,3,3,0,6,6,7,1,1,2,1,3,5,2,3,9,8,3,3,2,3,2,1
Washington Street north of Kenwood Street,October,Bike,Southbound,107,0,1,0,0,0,1,1,1,3,5,2,3,3,2,4,3,6,0,0,2,1,4,1,1,1,1,7,3,0,2,3,4,1,2,2,2,2,5,2,2,4,3,3,4,2,0,5,3
Washington Street north of Kenwood Street,October,Bike,Total,233,0,1,0,0,2,2,3,3,4,7,3,5,6,6,5,9,9,7,2,4,4,7,1,3,2,3,10,6,0,8,9,11,2,3,4,3,5,10,4,5,13,11,6,7,4,3,7,4
Washington Street north of Kenwood Street,October,MV,Northbound,17186,94,69,45,51,55,188,419,572,554,485,429,462,457,458,471,459,507,535,544,525,452,378,238,163,116,65,46,45,69,209,455,584,551,507,410,464,442,458,456,497,467,484,487,495,460,388,266,155
Washington Street north of Kenwood Street,October,MV,Southbound,12607,119,73,57,36,38,97,185,327,302,348,341,309,360,362,361,362,367,345,382,423,385,331,240,168,110,83,42,40,57,96,177,338,330,352,354,351,372,394,363,356,347,344,331,353,367,293,234,205
Washington Street north of Kenwood Street,October,MV,Total,29793,213,142,102,87,93,285,604,899,856,833,770,771,817,820,832,821,874,880,926,948,837,709,478,331,226,148,88,85,126,305,632,922,881,859,764,815,814,852,819,853,814,828,818,848,827,681,500,360
Washington Street south of Hayward Place,October,Bike,Northbound,1334,2,1,2,0,3,3,18,33,138,83,32,35,45,27,25,27,29,58,34,19,21,13,11,8,0,1,1,2,1,3,11,38,122,89,29,44,20,25,31,28,32,54,45,31,16,16,16,12
Washington Street south of Hayward Place,October,Bike,Southbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Washington Street south of Hayward Place,October,Bike,Total,1334,2,1,2,0,3,3,18,33,138,83,32,35,45,27,25,27,29,58,34,19,21,13,11,8,0,1,1,2,1,3,11,38,122,89,29,44,20,25,31,28,32,54,45,31,16,16,16,12
Washington Street south of Hayward Place,October,MV,Northbound,11023,98,68,45,42,32,88,157,212,310,326,277,282,280,315,322,325,338,329,309,312,288,307,215,206,138,107,57,39,47,79,143,192,309,362,292,307,288,280,252,294,337,310,326,311,295,273,268,234
Washington Street south of Hayward Place,October,MV,Southbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Washington Street south of Hayward Place,October,MV,Total,11023,98,68,45,42,32,88,157,212,310,326,277,282,280,315,322,325,338,329,309,312,288,307,215,206,138,107,57,39,47,79,143,192,309,362,292,307,288,280,252,294,337,310,326,311,295,273,268,234
Washington Street south of Herald Street,October,Bike,Northbound,654,1,1,1,1,0,8,10,29,85,30,16,15,15,21,13,9,13,24,13,11,11,5,7,4,0,2,0,1,1,5,13,39,58,35,20,18,8,11,18,8,10,24,18,5,5,6,4,2
Washington Street south of Herald Street,October,Bike,Southbound,241,0,2,0,0,0,0,5,2,7,1,2,7,3,4,9,6,17,23,17,4,6,0,2,6,1,0,0,0,0,0,4,3,4,3,5,5,6,9,11,7,13,18,12,2,3,2,6,4
Washington Street south of Herald Street,October,Bike,Total,895,1,3,1,1,0,8,15,31,92,31,18,22,18,25,22,15,30,47,30,15,17,5,9,10,1,2,0,1,1,5,17,42,62,38,25,23,14,20,29,15,23,42,30,7,8,8,10,6
Washington Street south of Herald Street,October,MV,Northbound,15806,75,53,36,24,37,145,279,431,584,565,507,467,474,432,447,488,496,552,445,387,306,184,170,101,85,37,38,21,36,124,298,467,605,583,539,454,509,476,442,561,568,525,460,430,300,212,208,143
Washington Street south of Herald Street,October,MV,Southbound,498,7,2,0,0,0,6,16,11,13,14,11,16,10,10,13,16,13,14,14,17,14,12,9,8,7,1,1,0,0,6,13,12,11,10,9,16,13,17,12,19,17,15,14,15,11,12,12,9
Washington Street south of Herald Street,October,MV,Total,16304,82,55,36,24,37,151,295,442,597,579,518,483,484,442,460,504,509,566,459,404,320,196,179,109,92,38,39,21,36,130,311,479,616,593,548,470,522,493,454,580,585,540,474,445,311,224,220,152
Weld Street west of Centre Street,October,Bike,Eastbound,44,0,0,0,0,0,1,2,8,4,1,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,2,0,2,2,1,2,0,0,0,0,0,0,0
Weld Street west of Centre Street,October,Bike,Westbound,44,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,2,3,6,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,2,2,4,4,0,1,0,0,0
Weld Street west of Centre Street,October,Bike,Total,88,0,0,0,0,0,1,3,8,4,1,3,0,0,5,3,3,3,6,8,0,2,0,0,0,0,0,0,0,0,0,4,3,4,1,1,2,2,2,3,3,4,4,4,0,1,0,0,0
Weld Street west of Centre Street,October,MV,Eastbound,3332,3,3,0,0,2,27,102,163,159,86,74,66,88,77,101,130,135,146,100,78,50,44,26,13,5,3,1,0,5,28,100,153,144,93,75,68,86,80,104,129,116,160,106,70,50,42,17,24
Weld Street west of Centre Street,October,MV,Westbound,3560,7,6,3,3,1,15,91,188,118,87,77,56,77,79,88,149,172,176,138,87,65,38,24,15,14,6,0,2,2,12,80,198,99,83,60,71,90,90,100,142,155,158,134,90,85,56,46,27
Weld Street west of Centre Street,October,MV,Total,6892,10,9,3,3,3,42,193,351,277,173,151,122,165,156,189,279,307,322,238,165,115,82,50,28,19,9,1,2,7,40,180,351,243,176,135,139,176,170,204,271,271,318,240,160,135,98,63,51
Western Avenue east of Hague Street,September,Bike,Eastbound,728,1,1,1,1,0,2,15,38,77,44,16,11,14,7,12,14,20,28,28,15,9,13,4,3,2,0,0,1,1,3,15,44,75,37,15,8,7,5,8,8,20,22,33,12,15,10,11,2
Western Avenue east of Hague Street,September,Bike,Westbound,993,9,0,2,1,0,4,7,24,49,23,2,8,10,20,10,34,34,75,84,38,20,20,15,7,12,2,0,1,0,6,24,31,22,24,15,7,9,12,20,35,29,74,69,31,19,23,17,15
Western Avenue east of Hague Street,September,Bike,Total,1721,10,1,3,2,0,6,22,62,126,67,18,19,24,27,22,48,54,103,112,53,29,33,19,10,14,2,0,2,1,9,39,75,97,61,30,15,16,17,28,43,49,96,102,43,34,33,28,17
Western Avenue east of Hague Street,September,MV,Eastbound,9616,31,19,17,13,27,71,205,379,428,304,220,250,206,237,295,354,301,382,292,316,184,158,109,74,24,14,9,11,24,87,191,374,438,311,278,230,244,254,313,379,286,309,289,210,177,133,92,67
Western Avenue east of Hague Street,September,MV,Westbound,13164,89,53,37,22,34,151,327,306,356,334,305,337,327,338,342,327,427,457,423,391,408,359,336,182,115,51,22,25,38,167,305,311,387,330,327,341,295,348,367,398,392,483,459,368,304,290,203,170
Western Avenue east of Hague Street,September,MV,Total,22780,120,72,54,35,61,222,532,685,784,638,525,587,533,575,637,681,728,839,715,707,592,517,445,256,139,65,31,36,62,254,496,685,825,641,605,571,539,602,680,777,678,792,748,578,481,423,295,237
Western Avenue west of Waverly Street,September,Bike,Eastbound,460,1,0,1,1,0,3,11,35,50,18,7,9,5,8,4,11,10,31,22,2,12,2,3,1,0,0,0,1,1,6,18,20,36,26,10,5,7,3,2,6,14,17,19,9,4,7,0,2
Western Avenue west of Waverly Street,September,Bike,Westbound,432,1,0,0,0,1,4,3,17,17,6,4,8,6,5,4,15,14,40,29,18,6,10,3,3,0,0,0,0,1,3,3,11,10,11,9,7,3,4,11,11,18,37,36,20,6,9,3,5
Western Avenue west of Waverly Street,September,Bike,Total,892,2,0,1,1,1,7,14,52,67,24,11,17,11,13,8,26,24,71,51,20,18,12,6,4,0,0,0,1,2,9,21,31,46,37,19,12,10,7,13,17,32,54,55,29,10,16,3,7
Western Avenue west of Waverly Street,September,MV,Eastbound,14777,44,27,19,19,36,122,281,494,543,485,367,419,471,440,465,468,482,534,484,395,265,233,158,75,46,23,15,21,39,125,274,494,577,450,413,431,452,470,469,504,491,547,497,405,254,195,155,104
Western Avenue west of Waverly Street,September,MV,Westbound,14385,73,40,22,14,28,114,222,329,412,356,322,371,412,410,442,439,577,687,630,415,340,282,207,119,67,22,23,16,38,116,218,340,451,333,344,366,425,405,414,478,521,692,540,447,285,254,185,142
Western Avenue west of Waverly Street,September,MV,Total,29162,117,67,41,33,64,236,503,823,955,841,689,790,883,850,907,907,1059,1221,1114,810,605,515,365,194,113,45,38,37,77,241,492,834,1028,783,757,797,877,875,883,982,1012,1239,1037,852,539,449,340,246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
